Name,GEOID,totalpopulation,white_percent,black_percent,asian_pacificislander_percent,hispanic_latino_percent,nativeamerican_percent,two_ormoreraces_percent,bingedrinking_percent,physicalinactivity_percent,smoking_percent,smoking_pregnancypercent,accessFruitsVegetables_percent,fruitVegetableServings_percent,sodaconsumption_percent,neighborhoodsafety_percent,lifeexpectancy2019_years,region
Rogers Park,1,52772,39,25,7,23,0,4,24,25,22,2,68,37,16,73,76,Far North Side
West Ridge,2,77139,37,14,26,20,0,3,24,26,14,1,72,24,17,76,80,Far North Side
Uptown,3,52255,52,19,11,14,0,4,30,20,15,1,76,30,19,82,76,Far North Side
Lincoln Square,4,40412,63,4,11,17,0,4,28,19,12,0,83,44,9,90,82,Far North Side
North Center,5,35150,73,2,6,13,0,5,37,16,18,0,81,31,24,95,83,North Side
Lake View,6,91836,75,4,7,9,0,4,40,14,14,0,83,40,12,94,82,North Side
Lincoln Park,7,63433,77,4,7,7,0,4,34,12,9,0,87,39,16,86,81,North Side
Near North Side,8,95467,70,9,11,6,0,3,30,19,13,1,80,35,16,86,82,Central 
Edison Park,9,11521,83,1,3,11,0,3,17,27,29,2,94,39,28,100,83,Far North Side
Norwood Park,10,41109,74,1,6,16,0,3,17,16,14,1,85,20,7,96,81,Far North Side
Jefferson Park,11,26201,60,2,10,24,0,3,22,26,15,2,65,31,24,97,81,Far North Side
Forest Glen,12,19579,68,1,13,14,0,4,31,25,19,1,82,40,18,95,83,Far North Side
North Park,13,17522,45,4,27,19,0,3,NA,23,NA,0,81,31,16,96,82,Far North Side
Albany Park,14,48549,30,4,15,47,0,3,14,23,12,1,78,29,25,87,80,Far North Side
Portage Park,15,63038,45,2,6,44,0,3,22,27,9,1,75,34,20,91,81,Northwest Side
Irving Park,16,51911,43,4,8,41,0,3,32,30,26,1,68,28,19,83,79,Northwest Side
Dunning,17,43120,56,2,5,35,0,2,17,23,9,1,74,18,32,94,80,Northwest Side
Montclare,18,14412,27,6,3,61,0,1,NA,37,23,2,79,33,21,79,77,Northwest Side
Belmont Cragin,19,78151,11,3,2,82,0,1,22,33,13,1,59,19,25,65,79,Northwest Side
Hermosa,20,24127,9,4,1,85,0,1,19,36,23,1,49,26,33,67,80,Northwest Side
Avondale,21,36245,37,3,4,52,0,3,38,26,10,1,64,27,15,80,82,North Side
Logan Square,22,71742,51,4,4,36,0,4,34,19,19,1,70,37,18,85,81,North Side
Humboldt Park,23,53832,9,30,1,59,0,2,28,40,32,4,57,14,33,48,74,West Side
West Town,24,87942,62,6,6,21,0,4,36,13,14,1,76,30,20,86,81,West Side
Austin,25,96753,4,74,0,19,0,2,18,35,34,6,55,17,36,60,71,West Side
West Garfield Park,26,17423,1,89,0,7,0,2,13,40,30,8,63,23,47,46,69,West Side
East Garfield Park,27,19995,5,83,1,8,0,2,26,39,32,7,72,25,30,61,68,West Side
Near West Side,28,67817,43,24,19,10,0,4,26,17,14,3,79,28,19,83,76,West Side
North Lawndale,29,34817,2,84,0,12,0,2,22,25,27,7,50,15,44,46,69,West Side
South Lawndale,30,71402,3,9,0,87,0,1,29,32,13,1,56,14,30,52,79,West Side
Lower West Side,31,33716,19,5,3,71,0,2,43,24,16,1,60,38,25,70,81,West Side
Loop,32,39135,57,9,21,8,0,4,28,12,13,0,81,34,19,88,81,Central 
Near South Side,33,27044,44,23,20,7,0,5,34,13,13,0,75,26,12,87,79,Central 
Armour Square,34,13847,11,11,72,4,0,1,NA,54,NA,1,78,NA,NA,76,81,South Side
Douglas,35,17630,9,72,11,5,0,3,26,25,14,2,46,38,20,78,72,South Side
Oakland,36,4280,2,91,1,3,0,2,27,42,NA,2,36,25,26,64,67,South Side
Fuller Park,37,2549,4,75,1,16,0,3,53,33,36,7,65,NA,47,84,66,South Side
Grand Boulevard,38,24586,3,91,0,3,0,3,21,32,16,3,64,32,27,70,74,South Side
Kenwood,39,14716,16,70,5,4,0,4,22,19,19,2,69,35,17,86,81,South Side
Washington Park,40,12709,1,94,0,3,0,2,28,27,30,6,42,25,60,39,70,South Side
Hyde Park,41,23914,41,27,17,8,0,6,14,15,9,1,75,29,8,91,83,South Side
Woodlawn,42,24630,7,82,3,4,0,3,9,27,20,6,48,23,34,64,75,South Side
South Shore,43,45611,2,93,0,2,0,3,18,24,25,6,61,26,38,55,72,South Side
Chatham,44,31804,1,95,0,2,0,2,22,30,31,5,66,26,27,66,72,Far South Side
Avalon Park,45,9359,0,94,0,2,0,2,16,34,30,4,48,9,51,56,75,Far South Side
South Chicago,46,25975,2,74,0,21,0,2,14,40,35,6,59,22,41,53,72,Far South Side
Burnside,47,2514,0,94,0,3,0,2,NA,NA,NA,8,NA,NA,NA,49,73,Far South Side
Calumet Heights,48,13085,1,92,0,5,0,2,14,33,15,5,70,25,50,86,75,Far South Side
Roseland,49,38934,1,94,0,2,0,2,16,32,27,6,57,17,33,65,71,Far South Side
Pullman,50,6866,6,84,0,7,0,2,NA,20,18,6,72,37,18,79,73,Far South Side
South Deering,51,14125,4,61,0,34,0,2,16,35,29,6,51,20,36,60,74,Far South Side
East Side,52,21529,12,4,0,82,0,1,23,30,18,1,71,28,49,62,78,Far South Side
West Pullman,53,25788,1,91,0,6,0,2,20,43,19,8,57,17,42,62,70,Far South Side
Riverdale,54,7229,1,94,0,3,0,2,NA,34,33,9,64,NA,NA,30,68,Far South Side
Hegewisch,55,9884,31,9,0,58,0,2,NA,33,27,5,76,27,39,74,77,Far South Side
Garfield Ridge,56,35352,38,5,1,54,0,1,28,27,11,2,74,27,40,85,80,Southwest Side
Archer Heights,57,14282,12,1,4,82,0,1,NA,44,NA,1,59,NA,20,67,79,Southwest Side
Brighton Park,58,45141,6,1,11,81,0,0,28,36,16,1,57,23,36,60,80,Southwest Side
McKinley Park,59,15927,14,2,27,56,0,1,26,24,17,2,84,26,26,79,80,Southwest Side
Bridgeport,60,33593,31,3,42,22,0,2,25,23,14,1,77,31,25,82,80,South Side
New City,61,43510,9,19,3,68,0,1,20,32,21,4,54,21,42,54,74,Southwest Side
West Elsdon,62,18249,11,2,3,84,0,0,38,25,19,1,77,21,29,85,83,Southwest Side
Gage Park,63,39439,4,4,1,91,0,0,29,34,12,1,71,22,24,58,79,Southwest Side
Clearing,64,24519,36,2,1,59,0,1,38,28,31,2,74,13,39,75,78,Southwest Side
West Lawn,65,33543,8,3,1,87,0,0,28,34,15,1,69,25,34,72,79,Southwest Side
Chicago Lawn,66,55789,3,37,0,59,0,1,28,37,22,4,54,26,39,62,74,Southwest Side
West Englewood,67,29899,1,77,0,20,0,2,20,36,34,9,61,18,36,52,72,Southwest Side
Englewood,68,24322,1,90,0,7,0,2,20,28,28,12,54,24,39,55,71,Southwest Side
Greater Grand Crossing,69,31543,1,95,0,2,0,2,14,30,28,8,57,27,28,58,72,South Side
Ashburn,70,41280,9,42,1,47,0,1,21,37,15,1,75,21,30,87,76,Far Southwest Side
Auburn Gresham,71,44959,0,94,0,4,0,2,20,24,20,7,65,19,35,58,71,Far Southwest Side
Beverly,72,19950,55,34,1,6,0,3,32,16,5,1,86,45,16,90,79,Far Southwest Side
Washington Heights,73,25075,0,95,0,2,0,2,10,34,15,4,60,16,38,66,73,Far Southwest Side
Mount Greenwood,74,18633,82,4,1,11,0,2,35,24,29,2,83,30,28,96,78,Far Southwest Side
Morgan Park,75,21714,28,63,0,5,0,2,32,21,21,4,73,29,34,84,75,Far Southwest Side
O'Hare,76,14416,67,3,14,13,0,3,28,22,NA,2,74,33,37,89,81,Far North Side
Edgewater,77,47343,56,12,12,16,0,4,32,17,12,0,85,32,16,92,81,Far North Side
Chicago,NA,2675609,26,37,6,28,0,2,25,28,20,3,68,27,28,74,77,Chicago
